id;user_id;create_date;modified_date;active_yn
1;Concrete;2021-07-07T02:56:37;2021-07-07T14:01:21;p
2;copying Handcrafted;2021-07-07T13:42:31;2021-07-07T14:37:34;Z
3;Moroccan FTP generating;2021-07-07T00:22:53;2021-07-07T14:13:28;f
4;Re-engineered Pants Games;2021-07-06T20:52:23;2021-07-06T21:58:25;I
5;success Franc;2021-07-06T17:58:09;2021-07-07T06:11:47;I
6;schemas;2021-07-06T17:08:05;2021-07-07T08:51:55;I
7;Refined maximize green;2021-07-06T19:59:47;2021-07-07T12:23:16;d
8;Card web-readiness;2021-07-06T21:47:46;2021-07-07T14:22:59;S
9;Arkansas 4th;2021-07-06T16:52:29;2021-07-06T19:24:20;E
10;infrastructure Borders virtual;2021-07-07T11:39:31;2021-07-06T23:55:38;R
